L	status	evidence
13	OPEN	
14	OPEN	
15	OPEN	
16	OPEN	
17	OPEN	
18	OPEN	
19	OPEN	
20	OPEN	
21	OPEN	
22	OPEN	
23	OPEN	
24	OPEN	
25	OPEN	
26	OPEN	
27	OPEN	
28	OPEN	
29	OPEN	
30	OPEN	
31	OPEN	
32	OPEN	
33	OPEN	
34	OPEN	
35	OPEN	
36	OPEN	
37	OPEN	
38	OPEN	
39	OPEN	
40	OPEN	
41	OPEN	
42	OPEN	
43	OPEN	
44	OPEN	
45	CLOSED	MATH-250 run 35437338989
46	CLOSED	MATH-250 run 35437338989
47	CLOSED	MATH-250 run 35437338989
48	CLOSED	MATH-250 run 35437338989
49	CLOSED	MATH-250 run 35437338989
50	CLOSED	MATH-250 run 35437338989
51	CLOSED	MATH-250 run 35437338989
52	CLOSED	MATH-250 run 35437338989
53	CLOSED	MATH-249 run 35437255689
54	CLOSED	MATH-224
55	CLOSED	MATH-224
56	CLOSED	MATH-224
57	CLOSED	MATH-224
58	CLOSED	MATH-224
59	CLOSED	MATH-224
60	CLOSED	MATH-224
61	CLOSED	MATH-224
62	CLOSED	MATH-224
63	CLOSED	MATH-224
64	CLOSED	MATH-224
65	CLOSED	MATH-224
66	CLOSED	MATH-224
67	CLOSED	MATH-224
68	CLOSED	MATH-224
69	CLOSED	MATH-224
70	CLOSED	MATH-224
71	CLOSED	MATH-224
72	CLOSED	MATH-224
