metric	value
project_id	MATH-159
layer	r10
original_shard	1
original_shard_mass	215291123465
micro_partition_count	64
micro_partition_method	MATH-156_exact_consecutive_parameter_partition
closure_engine	MATH-108_unchanged_exact_AP_union
source_chunk	1
workflow_run	34962500310
prepare_job	SUCCESS
successful_micro_count	64
failed_micro_count	0
final_certificate_job	certify-original-shard1
final_certificate_status	SUCCESS
certified_exact_mass	215291123465
original_shard_status	CLOSED
r10_layer_status	OPEN
claim_boundary	ORIGINAL_SHARD1_ONLY_NO_R10_LAYER_CLOSURE_CLAIM
